nohup: ignoring input
Using GPU (CUDA)
Step 8400: loss = 2.1520, lr = 0.0003, speed = 92145 tok/s
Step 8500: loss = 2.2332, lr = 0.0003, speed = 92220 tok/s
Step 8600: loss = 2.3054, lr = 0.0003, speed = 92293 tok/s
Step 8700: loss = 2.1743, lr = 0.0003, speed = 92364 tok/s
Step 8800: loss = 2.2421, lr = 0.0003, speed = 92435 tok/s
Step 8900: loss = 2.1816, lr = 0.0003, speed = 92503 tok/s
Step 9000: loss = 2.1267, lr = 0.0003, speed = 92569 tok/s
Step 9000: validation loss = 2.1034
Step 9100: loss = 2.3310, lr = 0.0003, speed = 91905 tok/s
Step 9200: loss = 2.3031, lr = 0.0003, speed = 91976 tok/s
Step 9300: loss = 2.2059, lr = 0.0003, speed = 92045 tok/s
Step 9400: loss = 2.2202, lr = 0.0003, speed = 92113 tok/s
Step 9500: loss = 2.2132, lr = 0.0003, speed = 92180 tok/s
Step 9600: loss = 2.1441, lr = 0.0003, speed = 92245 tok/s
Step 9700: loss = 2.1611, lr = 0.0003, speed = 92309 tok/s
Step 9800: loss = 2.1846, lr = 0.0003, speed = 92372 tok/s
Step 9900: loss = 2.2217, lr = 0.0003, speed = 92434 tok/s
Step 10000: loss = 2.1668, lr = 0.0003, speed = 92495 tok/s
Step 10000: validation loss = 2.0499
Step 10100: loss = 2.1436, lr = 0.0003, speed = 91902 tok/s
Step 10200: loss = 2.1986, lr = 0.0003, speed = 91965 tok/s
Step 10300: loss = 2.0681, lr = 0.0003, speed = 92028 tok/s
Step 10400: loss = 2.2030, lr = 0.0003, speed = 92090 tok/s
Step 10500: loss = 2.2173, lr = 0.0003, speed = 92150 tok/s
Step 10600: loss = 2.1681, lr = 0.0003, speed = 92209 tok/s
Step 10700: loss = 2.0440, lr = 0.0003, speed = 92267 tok/s
Step 10800: loss = 2.0140, lr = 0.0003, speed = 92324 tok/s
Step 10900: loss = 2.1550, lr = 0.0003, speed = 92380 tok/s
Step 11000: loss = 2.2327, lr = 0.0003, speed = 92435 tok/s
Step 11000: validation loss = 2.0050
Step 11100: loss = 2.1903, lr = 0.0003, speed = 91893 tok/s
Step 11200: loss = 2.0180, lr = 0.0003, speed = 91951 tok/s
Step 11300: loss = 2.1340, lr = 0.0003, speed = 92008 tok/s
Step 11400: loss = 2.1514, lr = 0.0003, speed = 92065 tok/s
Step 11500: loss = 2.1101, lr = 0.0003, speed = 92121 tok/s
Step 11600: loss = 2.0601, lr = 0.0003, speed = 92175 tok/s
Step 11700: loss = 2.1974, lr = 0.0003, speed = 92229 tok/s
Step 11800: loss = 2.0505, lr = 0.0003, speed = 92282 tok/s
Step 11900: loss = 2.1144, lr = 0.0003, speed = 92334 tok/s
Step 12000: loss = 1.9845, lr = 0.0003, speed = 92385 tok/s
Step 12000: validation loss = 1.9531
Step 12100: loss = 1.9434, lr = 0.0003, speed = 91887 tok/s
Step 12200: loss = 2.0852, lr = 0.0003, speed = 91941 tok/s
Step 12300: loss = 1.9516, lr = 0.0003, speed = 91993 tok/s
Step 12400: loss = 2.0474, lr = 0.0003, speed = 92045 tok/s
Step 12500: loss = 1.9682, lr = 0.0003, speed = 92098 tok/s
Step 12600: loss = 2.0410, lr = 0.0003, speed = 92151 tok/s
Step 12700: loss = 2.2233, lr = 0.0003, speed = 92203 tok/s
Step 12800: loss = 2.0854, lr = 0.0003, speed = 92254 tok/s
Step 12900: loss = 2.1170, lr = 0.0003, speed = 92304 tok/s
Step 13000: loss = 2.0692, lr = 0.0003, speed = 92353 tok/s
Step 13000: validation loss = 1.9449
Step 13100: loss = 2.1703, lr = 0.0003, speed = 91900 tok/s
Step 13200: loss = 2.2085, lr = 0.0003, speed = 91952 tok/s
Step 13300: loss = 2.1258, lr = 0.0003, speed = 92001 tok/s
Step 13400: loss = 2.0924, lr = 0.0003, speed = 92049 tok/s
Step 13500: loss = 2.1643, lr = 0.0003, speed = 92097 tok/s
Step 13600: loss = 1.9561, lr = 0.0003, speed = 92144 tok/s
Step 13700: loss = 2.0189, lr = 0.0003, speed = 92191 tok/s
Step 13800: loss = 1.9941, lr = 0.0003, speed = 92237 tok/s
Step 13900: loss = 2.0051, lr = 0.0003, speed = 92283 tok/s
